asset_code,asset_name,category,consumed_litres,transactions,utilisation_pct
GEN-350,Perkins 350kVA Generator,Power,64855,148,66.2
DOZ-155,CAT D6 Bulldozer,Earthworks,58796,451,60.6
PMP-075,Concrete Boom Pump,Concrete,56129,354,63.1
GEN-500,Cummins 500kVA Generator,Power,55613,207,77.2
CMP-210,Bomag Soil Compactor,Compaction,51170,281,65.7
GEN-250,Atlas Copco 250kVA Generator,Power,49322,254,84.9
TRK-041,Scania Tipper Truck,Haulage,46717,322,89.8
DOZ-160,Komatsu D65 Bulldozer,Earthworks,42077,418,72.4
LDR-966,CAT 966 Wheel Loader,Loading,31691,447,82.8
CRN-090,Liebherr LTM Mobile Crane,Lifting,30043,203,74.6
TRK-040,Volvo FMX Dump Truck,Haulage,28392,286,88.3
EXC-220,Komatsu PC220 Excavator,Excavation,27730,256,83.3
FRK-030,JCB Telehandler,Material Handling,23150,246,84.8
EXC-350,Hitachi ZX350 Excavator,Excavation,18337,228,90.9
GRD-140,CAT 140 Motor Grader,Grading,16103,281,72.4
