asset_code,asset_name,category,consumed_litres,transactions,utilisation_pct
7721,Generator_350kva_JP350_PO112500308,Generator,65236.24,204,100.0
8422,"DIESEL GENERATOR, 150KV, PERKINS",Generator,38919.23,212,59.7
7720,Generator_350kva_JP350_PO112500308,Generator,34148.09,127,52.3
8421,"DIESEL GENERATOR, 150KV, PERKINS",Generator,31818.42,220,48.8
7719,Generator_350kva_JP350_PO112500308,Generator,29962.46,108,45.9
8690,Diesel Generator 350KAV Model JP350 With dip tray ( 11250…,Generator,28008.16,98,42.9
3525,"Generator, Closed Type, 350Kva Prime, 375Kva Standby, Pri…",Generator,26490.56,137,40.6
8691,Diesel Generator 350KAV Model JP350 With dip tray ( 11250…,Generator,21516.74,82,33.0
7083,"Generator, Closed Type, 350Kva, Diesel, 112400607",Generator,19934.9,86,30.6
8692,Diesel Generator 350KV Model JP350 With Dip Tray(11250030…,Generator,16352.32,70,25.1
97869,Asset 97869,Uncategorised,6955.33,25,10.7
9453,Diesel Generator 350KV Model JP350 (112501752),Generator,6928.07,21,10.6
62910,Asset 62910,Uncategorised,6605.28,25,10.1
9452,Diesel Generator 150kv Model JP150 (112501752),Generator,6477.94,29,9.9
99763,Asset 99763,Uncategorised,6132.92,19,9.4
88218,Asset 88218,Uncategorised,6123.38,23,9.4
9450,Diesel Generator 150kv Model JP150 (112501752),Generator,6027.95,24,9.2
8962,Mobile Crane_50Ton_XCMG QY50KD_PO.112500626,Lifting,5245.26,31,8.0
38771,Asset 38771,Uncategorised,5236.9,23,8.0
88251,Asset 88251,Uncategorised,4991.47,21,7.7
99484,Asset 99484,Uncategorised,4655.18,26,7.1
46177,Asset 46177,Uncategorised,4405.02,17,6.8
9433,Sany Mobile Crane 130 Ton STC1300T7-1 Chassis:LFCNRG7P9T3…,Lifting,3673.11,13,5.6
36688,Asset 36688,Uncategorised,3578.07,18,5.5
5862,Mobile Crane - 100 Tons,Lifting,3509.46,17,5.4
9454,Diesel Generator 350KV Model JP350 (112501752),Generator,2959.45,12,4.5
22044,Asset 22044,Uncategorised,2418.44,12,3.7
60012,Asset 60012,Uncategorised,2054.56,13,3.1
80853,Asset 80853,Uncategorised,2022.72,15,3.1
26435,Asset 26435,Uncategorised,2000.25,18,3.1
2048,Bus Ashok LeyLand 2016,Uncategorised,1945.66,12,3.0
25773,Asset 25773,Uncategorised,1872.93,9,2.9
9451,Diesel Generator 150kv Model JP150 (112501752),Generator,1809.29,12,2.8
46851,Asset 46851,Uncategorised,1795.53,7,2.8
29525,Asset 29525,Uncategorised,1741.43,14,2.7
82944,Asset 82944,Uncategorised,1418.3,15,2.2
56866,Asset 56866,Uncategorised,1154.7,6,1.8
90331,Asset 90331,Uncategorised,1013.75,3,1.6
58265,Asset 58265,Uncategorised,795.55,3,1.2
75177,Asset 75177,Uncategorised,536.42,2,0.8
48303,Asset 48303,Uncategorised,472.78,2,0.7
7718,Welding Machine_ES410iC ESAB_112500342,Uncategorised,454.6,1,0.7
97692,Asset 97692,Uncategorised,450.05,1,0.7
60715,Asset 60715,Uncategorised,431.86,3,0.7
8886,Asset 8886,Uncategorised,418.23,2,0.6
88254,Asset 88254,Uncategorised,381.86,2,0.6
8955,Concrete Mixer M360 Maxiito (112501129),Uncategorised,376.82,6,0.6
58265,Hire Mobile Crane 100 Ton - PO-112600300,Lifting,368.22,1,0.6
3838,"Engine-Driven Welder, Stick (SMAW), Diesel Power, 230A @ …",Uncategorised,359.08,6,0.6
31181,Asset 31181,Uncategorised,354.58,1,0.5
8954,Concrete Mixer M360 Maxiito (112501129),Uncategorised,336.39,6,0.5
7727,Floor Standing Air Conditioner 5 Ton._x000D_ Warranty: 1 …,Uncategorised,313.67,1,0.5
63566,Asset 63566,Uncategorised,300.03,1,0.5
62919,Asset 62919,Uncategorised,295.49,1,0.5
73773,Asset 73773,Uncategorised,259.12,3,0.4
9448,Diesel Generator 150kv Model JP150 (112501752),Generator,250.03,3,0.4
9447,Diesel Generator 150kv Model JP150 (112501752),Generator,250.03,3,0.4
9449,Diesel Generator 150kv Model JP150 (112501752),Generator,250.03,3,0.4
7724,Floor Standing Air Conditioner 5 Ton._x000D_ Warranty: 1 …,Uncategorised,227.3,1,0.3
26435,Hire Mobile Crane 50 ton (LPO#112501461),Lifting,227.3,1,0.3
7791,Asset 7791,Uncategorised,218.2,1,0.3
31929,Asset 31929,Uncategorised,218.2,1,0.3
72045,Asset 72045,Uncategorised,213.66,1,0.3
3777,Asset 3777,Uncategorised,181.84,1,0.3
80853,Hire Mobile Crane 130 Ton -PO-112600279,Lifting,168.2,2,0.3
3274,"Pickup, Nissan, MK210, Payload Capacity 6 Tons",Uncategorised,131.83,1,0.2
83512,Asset 83512,Uncategorised,127.28,1,0.2
60715,Hire Backhoe Laoder JCB - PO-112600441,Uncategorised,118.19,1,0.2
80835,Asset 80835,Uncategorised,113.65,1,0.2
8822,SMDB_630A_112501033,Uncategorised,113.61,1,0.2
26525,Asset 26525,Uncategorised,104.56,1,0.2
11585,Asset 11585,Uncategorised,100.03,1,0.2
49068,Asset 49068,Uncategorised,95.46,1,0.1
92480,Asset 92480,Uncategorised,86.37,1,0.1
8944,Asset 8944,Uncategorised,77.28,1,0.1
84168,Asset 84168,Uncategorised,40.91,1,0.1
8160,Asset 8160,Uncategorised,36.36,1,0.1
